HH,HM,HL,LH,LM,LL
85000,85000,85000,20000,20000,20000
84970,84970,84970,19970,19970,19970
80020,80020,80020,21020,21020,21020
77000,77000,77000,25000,25000,25000
74000,74000,74000,27800,27800,27800
71000,71000,71000,31000,31000,31000
69000,69000,69000,33200,33200,33200
68000,68000,68000,36000,36000,36000
66500,66500,66500,38500,38500,38500
65000,65000,65000,40000,40000,40000
63500,63500,63500,41500,41500,41500
61500,61500,61500,42500,42500,42500
60000,60000,60000,44000,44000,44000
59000,59000,59000,45000,45000,45000
57800,57800,57800,45800,45800,45800
56900,56900,56900,46800,46800,46800
56100,56100,56100,47100,47100,47100
55400,55400,55400,47400,47400,47400
54900,54900,54900,47900,47900,47900
55000,55000,55000,48300,48300,48300
54200,54200,54200,48500,48500,48500
53900,53900,53900,48900,48900,48900
53000,53000,53000,49000,49000,49000
52600,52600,52600,49200,49200,49200
52300,52300,52300,49300,49300,49300
51700,51700,51700,49700,49700,49700
51470,51470,51470,49470,49470,49470
51300,51300,51300,49700,49700,49700
51000,51000,51000,49850,49850,49850
51100,51100,51100,50000,50000,50000
51190,50990,50800,50100,50090,49800
51160,50600,50200,51100,50100,49500
51250,50250,49300,52400,50250,49400
52200,50200,48200,52999,50200,48999
54000,50000,47100,54250,50000,47250
55320,50320,46320,55600,50320,46600
57500,50500,45500,57600,50500,45600
58300,50300,44300,59300,50300,44300
60200,50200,42200,61200,50200,43200
62170,50170,41170,62170,50170,42170
64090,50090,40090,63990,50090,40990
66010,50010,39010,65010,50010,39010
68290,49990,38290,67090,49990,38090
70800,49800,36800,68800,49800,36800
72690,49690,34990,70690,49690,35690
73700,49700,32700,71700,49700,34000
75790,49790,30790,72790,49790,32290
77900,49900,27900,74900,49900,30400
79100,50100,25100,76100,50100,27500
80079,50079,22079,78079,50079,24079
81900,50000,18900,80000,50000,20000
